"Data Source","Indicadores do Desenvolvimento Mundial",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brasil","BRA","Prevalência de HIV, total (% de população de 15 a 49 anos)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","",
"Brasil","BRA","Despesa pública na educação, total (% do PIB)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56816005706787","","","4.75665998458862","3.80062007904053","3.94893002510071","3.84468007087708","3.75037002563477","","3.97447991371155","4.47908020019531","4.87060022354126","4.97425985336304","5.26883983612061","5.46355009078979","5.64879989624023","5.73741006851196","5.85510015487671","5.8388500213623","5.94848012924194","6.24105978012085","6.314040184021","6.32047986984253","6.08851003646851","","","",
"Brasil","BRA","Matrícula escolar, ensino médio (% bruto)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.994216918945","101.868667602539","102.371032714844","101.2919921875","","95.1699981689453","96.7201232910156","96.6654815673828","","95.2633819580078","93.4202880859375","102.603576660156","101.388526916504","100.608169555664","102.063262939453","101.313789367676","105.00910949707","103.952377319336","","",
"Brasil","BRA","Taxa de Matrícula Líquida Ajustada","SE.PRM.TENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.07272","","98.85493","96.72741","94.29506","95.58531","96.07993","","92.47411","98.53831","96.58508","","95.69718","98.54993","97.32389","97.4362","96.85231","97.20202","97.55117","","","","",
"Brasil","BRA","Matrícula escolar, ensino fundamental (% bruto)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.645385742188","","150.785552978516","146.827789306641","140.544494628906","133.696304321289","133.262161254883","","128.179794311523","132.055206298828","131.165161132813","","106.985061645508","108.819023132324","114.502769470215","114.858200073242","113.369972229004","114.520278930664","115.971778869629","114.476531982422","111.965782165527","","",
"Brasil","BRA","Taxa de conclusão do ensino fundamental, total (% de faixa etária relevante)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.229606628418","114.199432373047","109.366607666016","100.684646606445","","","","","","","","","","","","","","","","","",
"Brasil","BRA","Proporção meninas/meninos nos ensinos fundamental e médio (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0129599571228","1.03544998168945","1.03352999687195","1.02884995937347","","1.04399001598358","1.03873002529144","1.04416000843048","","1.02467000484467","1.03052997589111","1.02643001079559","1.0327399969101","1.01532995700836","1.017009973526","1.00376999378204","1.00705003738403","1.01245999336243","","",
"Brasil","BRA","Taxa de alfabetização, total de adultos (% de pessoas com 15 anos ou mais)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.5867309570313","","","","","","","","","","","","","","","","","","","","86.3678817749023","","","","88.6162414550781","","89.6152267456055","90.0093688964844","90.03662109375","90.298210144043","90.3791809082031","91.4112396240234","91.3378524780273","91.4842376708984","91.7294311523438","92.0478973388672","92.8084411621094","93.0758209228516","93.2275009155273","","","",
"Brasil","BRA","RNB per capita, PPP ($ internacional atual)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6720","6740","7080","7590","7970","8170","8430","8390","8330","8810","8940","9230","9420","10130","10680","11370","12300","13000","12990","13850","14640","14660","15350","15400","14430","13930","14220","14560","14890","14440","15550",
"Brasil","BRA","RNB per capita, método Atlas (US$ atual)","NY.GNP.PCAP.CD","","","","","","","270","320","380","420","450","510","590","730","960","1180","1400","1520","1710","2000","2180","2120","2060","1780","1680","1450","1560","1700","1940","2210","2200","2390","2340","2310","2670","3430","4410","5100","4960","4220","3940","3340","3100","2990","3350","4000","4850","6200","7620","8330","9640","11070","12300","12770","12100","10170","8910","8680","9140","9220","7800","7720",
"Brasil","BRA","RNB, PPP ($ internacional atual)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970854098978.38","1018393173409.97","1039691964044.88","1110513058302.45","1210046542772.62","1291148271502.43","1344640977517.25","1409779863023.46","1424428426880.57","1436198070400.94","1539747400009.18","1583515728633.05","1656825294900.95","1712815389845.53","1864800579889.74","1987694303035.77","2139628594008.53","2339449440691.79","2495814313102.49","2518081047976.7","2709914123591.21","2891451846042.33","2920839502234.32","3086389307449.59","3123015136592.72","2951296604168.49","2871099078825.9","2955553341209.78","3049414842796.56","3142221340901.47","3069856908133.11","3328104982743.02",
"Brasil","BRA","RNB, método Atlas (US$ atual)","NY.GNP.ATLS.CD","","","","","","","23428802130.985","27795653841.604","34017867385.1613","38640523529.7992","42977060150.8237","49687780077.3057","59085858298.3785","74789444943.6948","100938976441.527","126679141384.613","154047551448.018","170929419811.933","196340138745.356","235935293928.207","262863196815.961","262247722091.284","261017275926.865","229782137421.835","222631329073.746","196371251578.532","215162581562.323","239924606759.598","278252285732.588","323719322023.287","327505837753.92","362470814300.841","361423559520.369","362434918476.657","425960539937.937","556284543006.101","725639930024.181","852111841920.359","842277987542.467","726412833974.266","688983514680.02","592701203401.341","555859181296.765","543058774579.865","615838333612.024","744104748645.049","913542753561.412","1178089414688.69","1462491253522.77","1615914650102","1886138300453.94","2186805830808.6","2451392460592.92","2567808376488.53","2453276593258.21","2079505064752.43","1836383558835.28","1804395066246.61","1914361514296.34","1945590946688.26","1658193642284.28","1651061570257.66",
